dt,name,direction,left,straight,number,timeindex,weekday
2019-01-12 00:00:00,wuhe_zhangheng,east,3,8,11,0.0,0.8333333333333334
2019-01-12 00:00:00,wuhe_zhangheng,south,1,21,22,0.0,0.8333333333333334
2019-01-12 00:00:00,wuhe_zhangheng,west,9,3,12,0.0,0.8333333333333334
2019-01-12 00:00:00,wuhe_zhangheng,north,8,17,25,0.0,0.8333333333333334
2019-01-12 00:05:00,wuhe_zhangheng,east,1,8,9,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,wuhe_zhangheng,south,1,28,29,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,wuhe_zhangheng,north,1,22,23,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,wuhe_zhangheng,west,16,16,32,0.003472222222222222,0.8333333333333334
2019-01-12 00:10:00,wuhe_zhangheng,north,2,22,24,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,wuhe_zhangheng,south,0,8,8,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,wuhe_zhangheng,east,6,3,9,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,wuhe_zhangheng,west,11,10,21,0.006944444444444444,0.8333333333333334
2019-01-12 00:15:00,wuhe_zhangheng,north,1,14,15,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,wuhe_zhangheng,south,1,16,17,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,wuhe_zhangheng,west,9,9,18,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,wuhe_zhangheng,east,2,7,9,0.010416666666666666,0.8333333333333334
2019-01-12 00:20:00,wuhe_zhangheng,north,6,32,38,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,wuhe_zhangheng,south,0,28,28,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,wuhe_zhangheng,west,16,18,34,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,wuhe_zhangheng,east,7,13,20,0.013888888888888888,0.8333333333333334
2019-01-12 00:25:00,wuhe_zhangheng,west,8,5,13,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,wuhe_zhangheng,south,2,21,23,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,wuhe_zhangheng,north,3,16,19,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,wuhe_zhangheng,east,2,10,12,0.017361111111111112,0.8333333333333334
2019-01-12 00:30:00,wuhe_zhangheng,north,0,20,20,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,wuhe_zhangheng,east,1,7,8,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,wuhe_zhangheng,west,15,11,26,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,wuhe_zhangheng,south,1,14,15,0.020833333333333332,0.8333333333333334
2019-01-12 00:35:00,wuhe_zhangheng,west,7,6,13,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,wuhe_zhangheng,east,3,4,7,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,wuhe_zhangheng,north,1,14,15,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,wuhe_zhangheng,south,2,15,17,0.024305555555555556,0.8333333333333334
2019-01-12 00:40:00,wuhe_zhangheng,north,1,23,24,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,wuhe_zhangheng,west,6,3,9,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,wuhe_zhangheng,east,1,7,8,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,wuhe_zhangheng,south,0,12,12,0.027777777777777776,0.8333333333333334
2019-01-12 00:45:00,wuhe_zhangheng,south,0,12,12,0.03125,0.8333333333333334
2019-01-12 00:45:00,wuhe_zhangheng,north,0,14,14,0.03125,0.8333333333333334
2019-01-12 00:45:00,wuhe_zhangheng,east,3,13,16,0.03125,0.8333333333333334
2019-01-12 00:45:00,wuhe_zhangheng,west,11,5,16,0.03125,0.8333333333333334
2019-01-12 00:50:00,wuhe_zhangheng,west,8,8,16,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,wuhe_zhangheng,south,0,15,15,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,wuhe_zhangheng,east,3,2,5,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,wuhe_zhangheng,north,0,6,6,0.034722222222222224,0.8333333333333334
2019-01-12 00:55:00,wuhe_zhangheng,west,4,6,10,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,wuhe_zhangheng,east,0,2,2,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,wuhe_zhangheng,south,0,10,10,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,wuhe_zhangheng,north,1,9,10,0.03819444444444445,0.8333333333333334
