date,weather,temperature_high,temperature_low
2019-01-01,1,15,9
2019-01-02,2,14,10
2019-01-03,2,16,12
2019-01-04,2,19,15
2019-01-05,1,21,16
2019-01-06,1,20,15
2019-01-07,2,21,15
2019-01-08,2,21,17
2019-01-09,2,19,15
2019-01-10,1,22,17
2019-01-11,1,25,18
2019-01-12,1,24,20
2019-01-13,1,23,17
2019-01-14,2,24,17
2019-01-15,3,20,13
2019-01-16,2,16,12
2019-01-17,1,19,12
2019-01-18,1,21,13
2019-01-19,1,21,16
2019-01-20,1,23,12
2019-01-21,1,19,12
2019-01-22,0,19,11
2019-01-23,0,19,12
2019-01-24,0,21,14
2019-01-25,0,24,14
2019-01-26,0,23,12
2019-01-27,1,20,12
2019-01-28,0,22,14
2019-01-29,0,23,16
2019-01-30,1,23,16
2019-01-31,1,25,13
2019-02-01,1,20,15
2019-02-02,1,23,17
2019-02-03,1,26,19
2019-02-04,1,26,18
2019-02-05,2,25,18
2019-02-06,1,27,20
2019-02-07,1,27,20
2019-02-08,1,28,20
2019-02-09,1,24,18
2019-02-10,2,21,17
2019-02-11,1,21,15
2019-02-12,1,21,18
2019-02-13,1,26,19
2019-02-14,1,26,18
2019-02-15,1,26,19
2019-02-16,1,26,19
2019-02-17,1,24,18
2019-02-18,3,21,17
2019-02-19,3,22,18
2019-02-20,1,27,21
2019-02-21,3,27,19
2019-02-22,2,20,16
2019-02-23,4,19,15
2019-02-24,3,18,11
2019-02-25,2,19,13
2019-02-26,1,22,16
2019-02-27,1,25,19
2019-02-28,1,27,19
